Title,Year,Age,rotten_tomatoes,Netflix,Hulu,prime_video,disneyplus,Type
The Irishman,2019,18+,0.98,1,0,0,0,0
Dangal,2016,7+,0.97,1,0,0,0,0
David Attenborough: A Life on Our Planet,2020,7+,0.95,1,0,0,0,0
Lagaan: Once Upon a Time in India,2001,7+,0.94,1,0,0,0,0
Roma,2018,18+,0.94,1,0,0,0,0
To All the Boys I've Loved Before,2018,13+,0.94,1,0,0,0,0
The Social Dilemma,2020,13+,0.93,1,0,0,0,0
Okja,2017,13+,0.92,1,0,0,0,0
The Ballad of Buster Scruggs,2018,16+,0.92,1,0,0,0,0
The Trial of the Chicago 7,2020,18+,0.92,1,0,0,0,0
Article 15,2019,18+,0.92,1,0,0,0,0
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,0.92,1,0,0,0,0
Dolemite Is My Name,2019,18+,0.92,1,0,0,0,0
Mudbound,2017,18+,0.91,1,0,0,0,0
Swades,2004,all,0.91,1,0,0,0,0
Fyre,2019,18+,0.91,1,0,0,0,0
Miss Americana,2020,18+,0.9,1,0,0,0,0
Virunga,2014,16+,0.9,1,0,0,0,0
Black Friday,2004,18+,0.9,1,0,0,0,0
Talvar,2015,7+,0.9,1,0,0,0,0
The King,2019,18+,0.9,1,0,0,0,0
John Mulaney: Kid Gorgeous at Radio City,2018,18+,0.89,1,0,0,0,0
I Am Mother,2019,13+,0.89,1,0,0,0,0
Tell Me Who I Am,2019,18+,0.89,1,0,0,0,0
The Departed,2006,18+,0.89,1,0,0,0,0
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,0.89,1,0,0,0,0
Terminator 2: Judgment Day,1991,18+,0.89,1,0,0,0,0
I Lost My Body,2019,18+,0.89,1,0,0,0,0
Django Unchained,2012,18+,0.89,1,0,0,0,0
The Half of It,2020,13+,0.89,1,0,0,0,0
The Boy Who Harnessed the Wind,2019,7+,0.89,1,0,0,0,0
The Devil All the Time,2020,18+,0.89,1,0,0,0,0
The Fundamentals of Caring,2016,18+,0.89,1,0,0,0,0
Pieces of a Woman,2020,18+,0.88,1,0,0,0,0
Gerald's Game,2017,18+,0.88,1,0,0,0,0
Shutter Island,2010,18+,0.88,1,0,0,0,0
Always Be My Maybe,2019,13+,0.88,1,0,0,0,0
The Intouchables,2011,7+,0.88,1,0,0,0,0
Bill Burr: Paper Tiger,2019,18+,0.87,1,0,0,0,0
Kiss the Ground,2020,18+,0.87,1,0,0,0,0
Crip Camp: A Disability Revolution,2020,18+,0.87,1,0,0,0,0
Extraction,2020,18+,0.87,1,0,0,0,0
No Direction Home: Bob Dylan,2005,all,0.87,1,0,0,0,0
Kabhi Khushi Kabhie Gham,2001,all,0.87,1,0,0,0,0
His House,2020,16+,0.87,1,0,0,0,0
Super Deluxe,2019,18+,0.87,1,0,0,0,0
The Guernsey Literary & Potato Peel Pie Society,2018,16+,0.87,1,0,0,0,0
A Secret Love,2020,18+,0.87,1,0,0,0,0
The Night Comes for Us,2018,18+,0.87,1,0,0,0,0
The Big Lebowski,1998,18+,0.87,1,0,0,0,0
Pad Man,2018,13+,0.87,1,0,0,0,0
American Factory,2019,13+,0.86,1,0,0,0,0
Bird Box,2018,18+,0.86,1,0,0,0,0
The Pianist,2002,18+,0.86,1,0,0,0,0
3 Idiots,2009,13+,0.86,1,0,0,0,0
A Shaun the Sheep Movie: Farmageddon,2019,all,0.86,1,0,0,0,0
A Clockwork Orange,1971,18+,0.86,1,0,0,0,0
What Happened to Monday,2017,18+,0.86,1,0,0,0,0
Anthony Jeselnik: Thoughts and Prayers,2015,18+,0.86,1,0,0,0,0
The White Helmets,2016,16+,0.86,1,0,0,0,0
Invader ZIM: Enter the Florpus,2019,7+,0.86,1,0,0,0,0
Happy as Lazzaro,2018,13+,0.85,1,0,0,0,0
Kal Ho Naa Ho,2003,all,0.85,1,0,0,0,0
Pan's Labyrinth,2006,18+,0.85,1,0,0,0,0
Team Foxcatcher,2016,16+,0.85,1,0,0,0,0
The Meyerowitz Stories (New and Selected),2017,18+,0.85,1,0,0,0,0
Casino Royale,2006,13+,0.85,1,0,0,0,0
The Hateful Eight,2015,18+,0.85,1,0,0,0,0
Rush,2013,18+,0.84,1,0,0,0,0
Zombieland,2009,18+,0.84,1,0,0,0,0
Eurovision Song Contest: The Story of Fire Saga,2020,13+,0.84,1,0,0,0,0
Kapoor & Sons,2016,13+,0.84,1,0,0,0,0
The Perfection,2018,18+,0.84,1,0,0,0,0
Dave Chappelle: Sticks & Stones,2019,18+,0.84,1,0,0,0,0
There Will Be Blood,2007,18+,0.84,1,0,0,0,0
Million Dollar Baby,2004,13+,0.84,1,0,0,0,0
The Social Network,2010,13+,0.84,1,1,0,0,0
The Christmas Chronicles,2018,7+,0.84,1,0,0,0,0
Monty Python and the Holy Grail,1975,7+,0.84,1,0,0,0,0
The Pixar Story,2007,all,0.84,1,0,0,0,0
Ma Rainey's Black Bottom,2020,18+,0.84,1,0,0,0,0
Calibre,2018,18+,0.84,1,0,0,0,0
Silver Linings Playbook,2012,18+,0.84,1,0,0,0,0
Over the Moon,2020,7+,0.84,1,0,0,0,0
Nightcrawler,2014,18+,0.84,1,0,0,0,0
1922,2017,18+,0.84,1,0,0,0,0
Paddleton,2019,18+,0.84,1,0,0,0,0
Rain Man,1988,18+,0.83,1,0,0,0,0
The Ritual,2017,18+,0.83,1,0,0,0,0
The Hater,2020,18+,0.83,1,0,0,0,0
