parent_airline,airline,aircraft_type,current,future,historic,total,orders,unit_cost,total_cost_current,average_age
Aegean Airlines,Aegean Airlines,Airbus A319,1,0,3,4,0,90,90,11.6
Aegean Airlines,Olympic Air,Airbus A319,0,0,8,8,0,90,-1,-1
Aegean Airlines,Aegean Airlines,Airbus A320,38,0,3,41,0,98,3724,7.5
Aegean Airlines,Olympic Air,Airbus A320,0,0,9,9,0,98,-1,-1
Aegean Airlines,Aegean Airlines,Airbus A321,8,0,0,8,0,115,919,10.3
Aegean Airlines,Olympic Air,ATR 42/72,2,0,0,2,0,22,44,2.4
Aegean Airlines,Aegean Airlines,ATR 42/72,0,0,6,6,0,22,-1,-1
Aegean Airlines,Aegean Airlines,Boeing 737,0,0,17,17,0,74,-1,-1
Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,0,0,6,6,0,14,-1,-1
Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,12,0,7,19,0,31,376,12.6
Aeroflot,Aeroflot,Airbus A310,0,0,14,14,0,75,-1,-1
Aeroflot,Rossiya Airlines,Airbus A319,26,0,5,31,0,90,2330,12.7
Aeroflot,Aeroflot,Airbus A319,0,0,15,15,0,90,-1,-1
Aeroflot,Aurora Airlines,Airbus A319,10,0,0,10,0,90,896,11
Aeroflot,Aeroflot,Airbus A320,71,1,3,75,11,98,6958,5.7
Aeroflot,Rossiya Airlines,Airbus A320,5,0,8,13,0,98,490,15.2
Aeroflot,Aeroflot,Airbus A321,31,0,8,39,9,115,3562,3.6
Aeroflot,Aeroflot,Airbus A330,22,0,0,22,0,240,5280,5.9
Aeroflot,Aeroflot,Airbus A350,0,0,0,0,22,312,-1,-1
Aeroflot,Aeroflot,Antonov An-124,0,0,3,3,0,75,-1,-1
Aeroflot,Rossiya Airlines,Antonov An-124,0,0,2,2,0,75,-1,-1
Aeroflot,Rossiya Airlines,Antonov An-148/An-158,0,0,6,6,0,28,-1,-1
Aeroflot,Aeroflot,Boeing 737,20,1,16,37,26,74,1480,1.6
Aeroflot,Pobeda,Boeing 737,12,0,0,12,0,74,888,2.1
Aeroflot,Rossiya Airlines,Boeing 737,17,1,5,23,0,74,1258,9.6
Aeroflot,Aurora Airlines,Boeing 737,0,0,5,5,0,74,-1,-1
Aeroflot,Rossiya Airlines,Boeing 747,7,2,0,9,2,316,2211,16.7
Aeroflot,Aeroflot,Boeing 767,0,0,13,13,0,187,-1,-1
Aeroflot,Rossiya Airlines,Boeing 767,0,0,3,3,0,187,-1,-1
Aeroflot,Aeroflot,Boeing 777,15,0,2,17,1,295,4418,2.5
Aeroflot,Rossiya Airlines,Boeing 777,6,5,1,12,5,295,1767,17.7
Aeroflot,Aeroflot,Boeing 787,0,0,0,0,22,265,-1,-1
Aeroflot,Aurora Airlines,De Havilland Canada DHC-8 Dash 8,8,2,1,12,0,31,250,14.8
Aeroflot,Rossiya Airlines,Ilyushin Il-62,0,0,1,1,0,45,-1,-1
Aeroflot,Aeroflot,Ilyushin Il-96,0,0,10,10,0,45,-1,-1
Aeroflot,Rossiya Airlines,Ilyushin Il-96,0,0,5,5,0,45,-1,-1
Aeroflot,Aeroflot,Irkut MC-21,0,0,0,0,50,82,-1,-1
Aeroflot,Aeroflot,McDonnell Douglas DC-10,0,0,3,3,0,145,-1,-1
Aeroflot,Aeroflot,McDonnell Douglas MD-11,0,0,3,3,0,175,-1,-1
Aeroflot,Rossiya Airlines,Sukhoi Superjet 100,0,0,0,0,20,28,-1,-1
Aeroflot,Aeroflot,Sukhoi Superjet 100,30,0,10,40,20,28,825,2.2
Aeroflot,Aeroflot,Tupolev Tu-134,0,0,1,1,0,16,-1,-1
Aeroflot,Rossiya Airlines,Tupolev Tu-154,0,0,1,1,0,16,-1,-1
Aeroflot,Aeroflot,Tupolev Tu-204,0,0,3,3,0,16,-1,-1
Aeroflot,Rossiya Airlines,Tupolev Tu-204,0,0,2,2,0,16,-1,-1
Aeroflot,Rossiya Airlines,Tupolev Tu-214,0,0,3,3,0,16,-1,-1
Aeroflot,Aurora Airlines,Viking Air DHC 6-400 Twin Otter,2,0,0,0,0,7,13,-1
Aeroflot,Aeroflot,Yakovlev Yak-42,0,0,1,1,0,,-1,-1
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,0,0,5,5,0,75,-1,-1
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,0,0,2,2,0,98,-1,-1
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9,1,0,10,0,240,2160,9.3
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5,0,8,13,0,216,1078,19.3
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40,1,77,118,0,74,2959,6.6
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,0,0,8,8,0,74,-1,-1
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,0,0,17,17,0,316,-1,-1
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,0,0,1,1,0,73,-1,-1
Aerolineas Argentinas,Austral Líneas Aéreas,Embraer ERJ-190,26,1,0,27,0,46,1201,5.4
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas DC-9,0,0,14,14,0,45,-1,-1
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,0,0,7,7,0,45,-1,-1
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas MD-80,0,0,28,28,0,45,-1,-1
Air Algerie,Air Algerie,Airbus A300,0,0,2,2,0,75,-1,-1
Air Algerie,Air Algerie,Airbus A310,0,0,6,6,0,75,-1,-1
Air Algerie,Air Algerie,Airbus A320,0,0,4,4,0,98,-1,-1
Air Algerie,Air Algerie,Airbus A330,8,0,4,12,0,240,1920,8.1
Air Algerie,Air Algerie,Airbus A340,0,0,3,3,0,216,-1,-1
Air Algerie,Air Algerie,ATR 42/72,15,0,0,15,0,22,332,10.4
Air Algerie,Air Algerie,Boeing 737,31,1,38,70,2,74,2293,8.6
Air Algerie,Air Algerie,Boeing 747,0,0,14,14,0,316,-1,-1
Air Algerie,Air Algerie,Boeing 767,2,0,7,9,0,187,374,26.3
Air Algerie,Air Algerie,Boeing 777,0,0,2,2,0,295,-1,-1
Air Algerie,Air Algerie,Boeing 787,0,0,0,0,8,265,-1,-1
Air Algerie,Air Algerie,McDonnell Douglas DC-10,0,0,2,2,0,145,-1,-1
Air Algerie,Air Algerie,McDonnell Douglas DC-8,0,0,24,24,0,6,-1,-1
Air Arabia,Air Arabia,Airbus A320,38,0,28,66,0,98,3724,2.9
Air Arabia,Air Arabia Egypt,Airbus A320,1,0,2,3,0,98,98,9.6
Air Arabia,Air Arabia Jordan,Airbus A320,2,0,1,3,0,98,196,10
Air Arabia,Air Arabia Maroc,Airbus A320,5,0,5,10,0,98,490,4.4
Air Astana,Air Astana,Airbus A319,1,0,0,1,0,90,90,8.4
Air Astana,Air Astana,Airbus A320,9,0,6,15,2,98,882,3.6
Air Astana,Air Astana,Airbus A321,4,0,0,4,8,115,460,10.6
Air Astana,Air Astana,Boeing 737,0,0,4,4,0,74,-1,-1
Air Astana,Air Astana,Boeing 757,5,0,0,5,0,73,363,19.5
Air Astana,Air Astana,Boeing 767,3,0,2,5,0,187,561,3
Air Astana,Air Astana,Boeing 787,0,0,0,0,3,265,-1,-1
Air Astana,Air Astana,Embraer ERJ-190,9,0,0,9,0,46,416,4.5
Air Astana,Air Astana,Fokker F50 / F60,0,0,6,6,0,18,-1,-1
Air Berlin,Air Berlin,Airbus A319,6,0,15,21,0,90,538,8.5
Air Berlin,Air Berlin,Airbus A320,54,7,50,111,0,98,5292,7.6
Air Berlin,Air Berlin,Airbus A321,21,0,2,23,2,115,2413,6
Air Berlin,Air Berlin,Airbus A330,15,2,3,20,2,240,3600,13.1
Air Berlin,Air Berlin,ATR 42/72,0,0,1,1,0,22,-1,-1
Air Berlin,Air Berlin,Boeing 737,14,0,141,155,0,74,1036,9.5
Air Berlin,Air Berlin,Boeing 757,0,0,4,4,0,73,-1,-1
Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,0,0,4,4,0,14,-1,-1
Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20,0,0,20,1,31,626,7.4
Air Berlin,Air Berlin,Embraer ERJ-190,0,0,3,3,0,46,-1,-1
Air Berlin,Air Berlin,Fokker F70 / F100,0,0,18,18,0,20,-1,-1
Air Berlin,Air Berlin,McDonnell Douglas MD-80,0,0,1,1,0,45,-1,-1
Air Canada,Air Canada,Airbus A319,15,0,33,48,0,90,1344,18.9
Air Canada,Air Canada Jetz,Airbus A319,3,0,2,5,0,90,269,18.7
Air Canada,Air Canada Rouge,Airbus A319,20,0,0,20,0,90,1792,18.6
Air Canada,Air Canada,Airbus A320,42,0,13,55,0,98,4116,23.3
Air Canada,Air Canada Jetz,Airbus A320,0,0,5,5,0,,-1,-1
Air Canada,Air Canada,Airbus A321,15,0,3,18,0,115,1724,13.7
Air Canada,Air Canada Rouge,Airbus A321,5,0,0,5,0,115,575,1
Air Canada,Air Canada,Airbus A330,8,0,0,8,0,240,1920,16.3
Air Canada,Air Canada,Airbus A340,0,0,15,15,0,216,-1,-1
Air Canada,Air Canada,Boeing 727,0,0,28,28,0,4,-1,-1
Air Canada,Air Canada,Boeing 737,0,0,44,44,61,74,-1,-1
Air Canada,Air Canada Jetz,Boeing 737,0,0,2,2,0,74,-1,-1
Air Canada,Air Canada,Boeing 747,0,0,15,15,0,316,-1,-1
Air Canada,Air Canada,Boeing 767,15,0,48,63,0,187,2804,25.8
