,id,name,album_id,disc_number,track_number,duration_ms,valence,energy,acousticness,instrumentalness,danceability,url,uri
0,4vzheKJ4T7vtewqPLH4jBW,Darkness Fades,55k2y2CMY7Xkw7T3t26MTS,1,1,273560,0.0675,0.45,0.171,0.000262,0.242,https://open.spotify.com/embed/track/4vzheKJ4T7vtewqPLH4jBW,spotify:track:4vzheKJ4T7vtewqPLH4jBW
1,20X8QOhmCu5gX8fxjTCCRD,Home to Me,55k2y2CMY7Xkw7T3t26MTS,1,2,218533,0.242,0.373,0.108,0.366,0.593,https://open.spotify.com/embed/track/20X8QOhmCu5gX8fxjTCCRD,spotify:track:20X8QOhmCu5gX8fxjTCCRD
2,1j05GjDriIklmdItfijzwg,I'll Try,55k2y2CMY7Xkw7T3t26MTS,1,3,187613,0.316,0.621,0.00336,0.106,0.453,https://open.spotify.com/embed/track/1j05GjDriIklmdItfijzwg,spotify:track:1j05GjDriIklmdItfijzwg
3,2fURyKFnfufJDryD0fvxG0,Anything,55k2y2CMY7Xkw7T3t26MTS,1,4,158440,0.15,0.717,0.00496,0.00655,0.489,https://open.spotify.com/embed/track/2fURyKFnfufJDryD0fvxG0,spotify:track:2fURyKFnfufJDryD0fvxG0
4,29YsqWWkfXx8VanLAoH6Pv,Born,55k2y2CMY7Xkw7T3t26MTS,1,5,302413,0.262,0.359,0.0192,0.00983,0.509,https://open.spotify.com/embed/track/29YsqWWkfXx8VanLAoH6Pv,spotify:track:29YsqWWkfXx8VanLAoH6Pv
5,0r1QbkYiDL6skMykjUFxfe,Headspace,55k2y2CMY7Xkw7T3t26MTS,1,6,266013,0.325,0.767,0.000221,0.178,0.489,https://open.spotify.com/embed/track/0r1QbkYiDL6skMykjUFxfe,spotify:track:0r1QbkYiDL6skMykjUFxfe
6,1i779BR4wOj5z6NRxwosZa,Come Back,55k2y2CMY7Xkw7T3t26MTS,1,7,269960,0.173,0.344,0.215,0.00013,0.334,https://open.spotify.com/embed/track/1i779BR4wOj5z6NRxwosZa,spotify:track:1i779BR4wOj5z6NRxwosZa
7,3YSvzjSuKBrzBqIlajLMLS,Darkish,55k2y2CMY7Xkw7T3t26MTS,1,8,244760,0.0693,0.054,0.947,0.0,0.217,https://open.spotify.com/embed/track/3YSvzjSuKBrzBqIlajLMLS,spotify:track:3YSvzjSuKBrzBqIlajLMLS
8,1guZoNOer88c43c3PwoS7d,Mistakes,55k2y2CMY7Xkw7T3t26MTS,1,9,239146,0.515,0.777,0.00283,0.604,0.571,https://open.spotify.com/embed/track/1guZoNOer88c43c3PwoS7d,spotify:track:1guZoNOer88c43c3PwoS7d
9,0zrBiG42TrzJ6I4Oy79Kkv,Far Away,55k2y2CMY7Xkw7T3t26MTS,1,10,199093,0.164,0.396,0.44,0.00144,0.431,https://open.spotify.com/embed/track/0zrBiG42TrzJ6I4Oy79Kkv,spotify:track:0zrBiG42TrzJ6I4Oy79Kkv
10,1CV3ROoI5E5X9B4v1YGGWW,Never Gonna Change,55k2y2CMY7Xkw7T3t26MTS,1,11,218720,0.111,0.725,0.0195,0.351,0.471,https://open.spotify.com/embed/track/1CV3ROoI5E5X9B4v1YGGWW,spotify:track:1CV3ROoI5E5X9B4v1YGGWW
