Season,Episode,Rating,Name,Spoken
1,1,7.8,Jeff,1651
1,2,7.9,Jeff,670
1,3,8.3,Jeff,708
1,4,8.2,Jeff,753
1,5,7.9,Jeff,639
1,6,7.8,Jeff,887
1,7,8.8,Jeff,681
1,8,8.1,Jeff,581
1,9,8.9,Jeff,509
1,10,8.3,Jeff,562
1,11,7.9,Jeff,515
1,12,8.5,Jeff,646
1,13,8.1,Jeff,711
1,14,8.0,Jeff,602
1,15,8.2,Jeff,523
1,16,8.5,Jeff,778
1,17,9.0,Jeff,550
1,18,8.1,Jeff,747
1,19,8.5,Jeff,750
1,20,8.5,Jeff,459
1,21,9.3,Jeff,804
1,22,8.1,Jeff,391
1,23,9.8,Jeff,782
1,24,8.2,Jeff,721
1,25,8.5,Jeff,474
2,1,8.7,Jeff,668
2,2,8.3,Jeff,848
2,3,8.1,Jeff,590
2,4,8.7,Jeff,383
2,5,7.8,Jeff,203
2,6,9.3,Jeff,424
2,7,8.5,Jeff,285
2,8,9.1,Jeff,677
2,9,9.4,Jeff,836
2,10,8.5,Jeff,528
2,11,8.8,Jeff,163
2,12,8.1,Jeff,827
2,13,8.0,Jeff,349
2,14,9.5,Jeff,521
2,15,8.2,Jeff,556
2,16,8.8,Jeff,571
2,17,8.3,Jeff,601
2,18,7.5,Jeff,598
2,19,9.0,Jeff,1153
2,20,7.6,Jeff,677
2,21,9.1,Jeff,702
2,22,8.0,Jeff,271
2,23,9.7,Jeff,402
2,24,9.6,Jeff,366
3,1,8.1,Jeff,757
3,2,8.2,Jeff,457
3,3,8.1,Jeff,464
3,4,9.8,Jeff,650
3,5,8.8,Jeff,443
3,6,7.8,Jeff,599
3,7,8.6,Jeff,320
3,8,9.0,Jeff,247
3,9,8.5,Jeff,626
3,10,8.7,Jeff,289
3,11,7.8,Jeff,361
3,12,8.1,Jeff,334
3,13,8.2,Jeff,377
3,14,9.3,Jeff,604
3,15,8.2,Jeff,660
3,16,8.7,Jeff,350
3,17,9.4,Jeff,445
3,18,8.3,Jeff,375
3,19,9.2,Jeff,403
3,20,9.5,Jeff,457
3,21,9.1,Jeff,325
3,22,8.9,Jeff,616
4,1,7.4,Jeff,671
4,2,7.6,Jeff,826
4,3,7.4,Jeff,474
4,4,7.2,Jeff,620
4,5,7.5,Jeff,802
